d13C,d15N,Time,Region
-25.68,5.28,1,Downstream
-25.79,5.30,1,Downstream
-24.88,5.76,1,Downstream
-25.11,5.26,1,Downstream
-23.49,5.52,1,Downstream
-24.63,5.56,1,Downstream
-24.65,5.49,1,Downstream
-25.06,6.11,1,Downstream
-24.72,5.39,1,Downstream
-23.59,6.31,1,Downstream
-24.83,5.51,2,Downstream
-24.62,5.35,2,Downstream
-27.11,7.85,1,Upstream
-26.96,8.67,1,Upstream
-26.43,8.84,1,Upstream
-27.13,8.99,1,Upstream
-27.15,8.98,1,Upstream
-27.46,7.23,1,Upstream
-27.66,8.15,1,Upstream
-26.28,8.25,1,Upstream
-26.30,9.29,1,Upstream
-25.69,8.13,2,Upstream
-25.79,9.03,2,Upstream
-26.89,8.12,2,Upstream
-25.72,8.63,2,Upstream
-26.79,8.41,2,Upstream
-25.44,7.72,2,Upstream
-25.38,8.39,2,Upstream
-25.90,8.22,2,Upstream
-27.61,8.50,2,Upstream
-25.55,8.33,2,Upstream
-26.21,7.66,2,Upstream